text,url
Everyday Italian: 125 Simple and Delicious Recipes,https://books.toscrape.com/catalogue/everyday-italian-125-simple-and-delicious-recipes_618/index.html
My Kitchen Year: 136 Recipes That Saved My Life,https://books.toscrape.com/catalogue/my-kitchen-year-136-recipes-that-saved-my-life_646/index.html
Barefoot Contessa Back to Basics,https://books.toscrape.com/catalogue/barefoot-contessa-back-to-basics_667/index.html
Cravings: Recipes for What You Want to Eat,https://books.toscrape.com/catalogue/cravings-recipes-for-what-you-want-to-eat_589/index.html
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",https://books.toscrape.com/catalogue/a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-with-ice-cream-gelato-frozen-custard-and-more_611/index.html
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,https://books.toscrape.com/catalogue/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666/index.html
The Origin of Species,https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html
Tipping Point for Planet Earth: How Close Are We to the Edge?,https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",https://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,https://books.toscrape.com/catalogue/hungry-girl-clean-hungry-easy-all-natural-recipes-for-healthy-eating-in-the-real-world_171/index.html
The Grand Design,https://books.toscrape.com/catalogue/the-grand-design_405/index.html
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,https://books.toscrape.com/catalogue/vegan-vegetarian-omnivore-dinner-for-everyone-at-the-table_297/index.html
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,https://books.toscrape.com/catalogue/mexican-today-new-and-rediscovered-recipes-for-contemporary-kitchens_387/index.html
The Power Greens Cookbook: 140 Delicious Superfood Recipes,https://books.toscrape.com/catalogue/the-power-greens-cookbook-140-delicious-superfood-recipes_410/index.html
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",https://books.toscrape.com/catalogue/the-art-of-simple-food-notes-lessons-and-recipes-from-a-delicious-revolution_229/index.html
The Smitten Kitchen Cookbook,https://books.toscrape.com/catalogue/the-smitten-kitchen-cookbook_281/index.html
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,https://books.toscrape.com/catalogue/how-to-be-a-domestic-goddess-baking-and-the-art-of-comfort-cooking_470/index.html
The Epidemic (The Program 0.6),https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html
Stars Above (The Lunar Chronicles #4.5),https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html
Better Homes and Gardens New Cook Book,https://books.toscrape.com/catalogue/better-homes-and-gardens-new-cook-book_423/index.html
The Barefoot Contessa Cookbook,https://books.toscrape.com/catalogue/the-barefoot-contessa-cookbook_440/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
Catching Jordan (Hundred Oaks),https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html
Food and Drink,https://books.toscrape.com/catalogue/category/books/food-and-drink_33/page-1.html
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),https://books.toscrape.com/catalogue/how-to-cook-everything-vegetarian-simple-meatless-recipes-for-great-food-how-to-cook-everything_471/index.html
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),https://books.toscrape.com/catalogue/harry-potter-and-the-prisoner-of-azkaban-harry-potter-3_328/index.html
Kill the Boy Band,https://books.toscrape.com/catalogue/kill-the-boy-band_381/index.html
An Abundance of Katherines,https://books.toscrape.com/catalogue/an-abundance-of-katherines_362/index.html
Isla and the Happily Ever After (Anna and the French Kiss #3),https://books.toscrape.com/catalogue/isla-and-the-happily-ever-after-anna-and-the-french-kiss-3_380/index.html
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html
Walk the Edge (Thunder Road #2),https://books.toscrape.com/catalogue/walk-the-edge-thunder-road-2_300/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
My Paris Kitchen: Recipes and Stories,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Until Friday Night (The Field Party #1),https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html
This Is Where It Ends,https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html
The Darkest Lie,https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html
Don't Get Caught,https://books.toscrape.com/catalogue/dont-get-caught_687/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
Wild Swans,https://books.toscrape.com/catalogue/wild-swans_782/index.html
The Guns of August,https://books.toscrape.com/catalogue/the-guns-of-august_254/index.html
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",https://books.toscrape.com/catalogue/house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth_170/index.html
My Kind of Crazy,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html
Lola and the Boy Next Door (Anna and the French Kiss #2),https://books.toscrape.com/catalogue/lola-and-the-boy-next-door-anna-and-the-french-kiss-2_385/index.html
Far From True (Promise Falls Trilogy #2),https://books.toscrape.com/catalogue/far-from-true-promise-falls-trilogy-2_320/index.html
